tissue_general	cell_type	numeric_young_donors	numeric_old_donors	disease_free_numeric_young_donors	disease_free_numeric_old_donors	dataset_n	cell_n
brain	endothelial cell	193	1007	122	226	134	138172
brain	T cell	114	585	85	127	17	35970
blood	monocyte	127	201	64	68	14	157163
breast	macrophage	63	30	50	1	9	60757
lung	T cell	42	77	34	33	15	127201
eye	fibroblast	31	117	31	107	18	733112
lung	macrophage	35	221	31	37	20	327835
eye	macrophage	30	113	30	112	13	146925
lung	monocyte	31	108	30	37	17	55994
pancreas	endothelial cell	40	9	28	3	7	12758
small intestine	macrophage	43	28	26	28	11	42325
small intestine	monocyte	48	18	25	17	8	4329
blood	endothelial cell	27	99	24	48	4	658
small intestine	fibroblast	48	17	24	17	10	55241
eye	endothelial cell	23	89	23	80	11	44425
adipose tissue	macrophage	23	10	23	10	7	56786
adipose tissue	endothelial cell	23	9	23	9	7	39945
respiratory system	T cell	21	8	21	7	6	1538
lung	fibroblast	23	83	20	32	17	50656
eye	monocyte	19	53	19	53	6	13858
kidney	T cell	32	92	19	36	14	32884
blood	macrophage	50	50	19	15	9	7544
eye	T cell	18	77	18	68	9	52045
colon	macrophage	20	20	17	17	8	14129
colon	monocyte	19	20	17	16	7	6586
kidney	endothelial cell	28	100	15	32	16	69961
colon	fibroblast	17	33	15	22	9	56509
lymph node	macrophage	36	146	15	22	11	136959
heart	fibroblast	13	114	13	76	13	400745
central nervous system	fibroblast	13	35	13	35	3	93871
central nervous system	macrophage	13	33	13	33	2	6941
adipose tissue	T cell	13	6	13	6	5	11551
adipose tissue	monocyte	13	5	13	5	4	3740
milk	macrophage	13	0	13	0	1	6384
heart	endothelial cell	25	51	12	29	10	178308
colon	endothelial cell	14	28	12	17	7	7631
small intestine	T cell	29	15	12	15	5	35114
small intestine	endothelial cell	27	13	12	13	5	24581
mucosa	fibroblast	19	4	12	4	4	20744
milk	T cell	12	0	12	0	1	792
central nervous system	T cell	11	30	11	30	1	1632
musculature	macrophage	11	24	11	21	8	15714
kidney	monocyte	20	53	11	19	7	6150
mucosa	T cell	18	14	11	14	4	8157
mucosa	macrophage	18	1	11	1	3	3142
colon	T cell	11	27	10	20	6	9830
uterus	fibroblast	10	12	10	0	5	32989
lung	endothelial cell	10	76	9	25	16	38149
musculature	fibroblast	9	19	9	15	6	119498
spleen	macrophage	9	13	9	13	6	24710
respiratory system	monocyte	9	12	9	11	5	9186
bone marrow	T cell	9	11	9	9	4	1344
exocrine gland	fibroblast	10	8	9	7	4	19419
bone marrow	macrophage	8	26	8	11	9	6509
breast	fibroblast	17	26	8	1	10	321097
liver	T cell	17	32	7	12	13	160708
respiratory system	fibroblast	7	10	7	9	4	4915
respiratory system	macrophage	7	8	7	7	5	7010
immune system	T cell	7	0	7	0	1	267
