PC1	PC2	age_group	disease	dataset_id
3.0444837	-0.10378776	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.958326	3.2365587	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
8.393332	-1.6664681	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
1.0789748	0.21049125	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
7.5255003	2.80141	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
7.369283	-0.3773284	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
6.5796366	-0.4362405	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
8.845341	2.8228974	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
4.0809402	0.9342499	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
5.320105	-0.82196504	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
5.995478	0.9117597	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
8.248208	3.820486	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
3.9144716	3.6508787	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
5.7208247	-0.6331376	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
4.3789525	-0.8850615	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
9.10299	2.567497	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
9.3154125	-1.21871	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.212635	2.3920794	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.2743506	-1.0552919	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
6.7398467	-1.2497035	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
1.5107148	-0.019439805	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.4048443	-2.2010012	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
2.3671346	0.41821048	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.5222497	-1.7551082	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
2.4265475	-1.697727	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
6.059855	0.16393116	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
8.502942	-1.4704317	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.58588	1.299613	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
4.617902	-0.9910932	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
1.2513492	0.32395348	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
8.120794	1.5144348	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.5437407	-0.50182915	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.773801	-4.428636	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
6.1179705	0.67676866	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
6.1631064	-2.4145577	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
8.892765	4.230951	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
4.2055993	1.5902406	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
9.650156	6.84027	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
7.2615557	3.5546534	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
7.0361786	0.1396895	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
6.6123915	1.0277508	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
2.6478245	-6.755224	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
3.4472322	-0.78942835	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
9.059508	1.659769	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
5.544066	0.22743519	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
7.8529644	-4.436809	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
7.396114	-1.2218267	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
7.699394	1.9999876	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
8.011893	-2.8559058	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.2893033	-1.6944801	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
8.530607	2.5054672	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
5.7699738	-5.5778527	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
7.6064353	-1.3006598	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
8.074056	3.3180685	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
8.268241	-1.9290422	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
6.9730372	-1.9372905	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
6.756378	1.4356531	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
7.6235485	0.3412778	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.759689	1.2163953	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
7.948018	-0.5518854	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
9.309749	0.1441448	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
5.9584956	-2.4851172	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
10.164577	5.2318873	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
8.691576	4.414965	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
7.637646	-1.3296182	old	normal	47e00f43-6176-44a5-b4d1-f88a1920fcab
7.0545297	-6.636799	old	normal	47e00f43-6176-44a5-b4d1-f88a1920fcab
