PC1	PC2	age_group	disease	dataset_id
18.178843	-8.271985	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
37.366913	14.760142	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
39.973724	8.667943	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
23.031569	-20.475634	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
39.42137	-6.190806	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
40.51674	13.101403	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
22.816921	4.1021495	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
40.731995	-8.456569	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
23.119701	-22.78045	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
34.245415	9.96085	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
37.59038	9.280944	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
38.29686	-12.284443	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
21.66981	-15.097612	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
38.516964	17.665169	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
28.409945	-14.857078	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
43.09303	3.737414	young	normal	420d0f5d-b7ba-4b1e-88d0-44e9f733febd
42.208378	-4.523811	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
35.37694	3.9331636	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
38.95862	5.277114	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
42.141605	8.595925	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
14.12148	-16.536165	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
42.338425	-9.283077	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
22.30923	-22.310797	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
41.548862	14.453249	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
11.4608	-0.5734595	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
37.04573	11.463673	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
40.32367	12.705513	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
37.204517	15.3933935	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
29.774515	4.0382423	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
12.138926	9.048781	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
42.65289	-0.29916593	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
39.80441	15.596347	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
35.212234	-16.775452	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
33.162964	3.1909437	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
40.642242	8.275878	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
44.472054	-5.353968	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
29.64318	7.137372	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
41.302773	-0.11462967	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
39.22743	-8.55082	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
41.035496	-8.891991	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
34.544567	-14.586755	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
26.600138	2.216442	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
27.481544	-21.557993	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
41.01683	-5.322173	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
25.184828	-20.479404	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
37.68337	6.1776805	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
43.619137	15.205698	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
40.256226	9.617036	young	cytomegalovirus infection	0a8e3443-c3e2-4918-84db-0495657d9175
46.144287	15.034845	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
40.05325	12.142842	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
39.149315	-8.745273	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
39.60307	10.570412	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
36.090946	8.318238	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
39.91392	-1.1094712	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
42.997738	-4.638328	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
41.049355	16.350626	young	cytomegalovirus infection	5fde5c9c-5b1e-4df5-982a-3f8e7635161f
40.90756	14.846184	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
37.5044	15.874587	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
24.055765	-9.523442	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
34.46048	-11.087041	young	normal	46104f0b-9af5-466a-ae0f-56b8dc1969a2
